year,month,day, gfdl_pdo, ipsl_pdo, had_pdo, gfdl_pdo_fil10yr, ipsl_pdo_fil10yr, had_pdo_fil10yr
1988,6,16,0.0238857,-0.01526388,-0.00593713,0.004966079,-0.003388256,0.003316452
1988,7,16,0.0370257,-0.05986844,0.002519507,0.004520225,-0.003448273,0.002924128
1988,8,16,0.01689741,-0.05644912,0.01635166,0.004097565,-0.003562352,0.002736193
1988,9,16,0.008795875,-0.03025875,0.02069011,0.003793322,-0.003508215,0.002557919
1988,10,16,0.02332982,0.007392579,0.0266134,0.003509423,-0.003337126,0.002422114
1988,11,16,0.04864478,0.00574777,0.03767354,0.003018713,-0.003192579,0.002308555
1988,12,16,0.02492228,-0.0008431906,0.03304024,0.002657998,-0.00301519,0.00213323
1989,1,16,0.0216135,0.01072282,0.02777719,0.002240827,-0.00269176,0.001942515
1989,2,16,0.01722406,0.01743327,0.02864163,0.001691276,-0.00236238,0.001855086
1989,3,16,0.01245042,0.007712287,0.02786779,0.001086512,-0.00204641,0.00174444
1989,4,16,0.003250068,-0.006211151,0.02627101,0.0004567697,-0.001877931,0.001634443
1989,5,16,-0.00821241,-0.03960209,0.04555228,-0.0001230122,-0.001721362,0.001505277
1989,6,16,-0.02306448,-0.04175084,0.0370448,-0.0009133229,-0.001446676,0.001505123
1989,7,16,-0.02889316,-0.01716012,0.03307464,-0.00182181,-0.001574445,0.001472166
1989,8,16,-0.02547257,-0.0408953,0.0305476,-0.002473364,-0.001411258,0.001452952
1989,9,16,-0.007072467,-0.04085968,0.03717186,-0.003058293,-0.001498883,0.001340918
1989,10,16,-0.00638867,-0.01305129,0.04624001,-0.003664357,-0.001466906,0.0008671506
1989,11,16,-0.02033861,-0.02888284,0.02104065,-0.004375599,-0.001418082,0.0007338149
1989,12,16,-0.01336517,-0.005640572,0.01571127,-0.004932627,-0.001362321,0.0007433935
1990,1,16,-0.01478211,0.00920169,0.01526954,-0.005477053,-0.001525223,0.0008721011
1990,2,16,-0.03289736,0.02079866,0.02189206,-0.006123628,-0.0017544,0.0008126737
1990,3,16,-0.03910338,0.02560765,0.01488857,-0.006846102,-0.001921011,0.0004897697
1990,4,16,-0.04363301,0.01649605,0.008995034,-0.007502781,-0.002030276,0.0002016914
1990,5,16,-0.05420418,0.007342597,0.0113245,-0.008064922,-0.002076169,-0.0001031906
1990,6,16,-0.03187638,0.00764018,0.02246831,-0.008315378,-0.002030469,-0.0006263903
1990,7,16,-0.03052589,0.01642561,0.01690272,-0.008458243,-0.001699019,-0.001238346
1990,8,16,-0.02682506,-0.03066481,0.002052749,-0.008642849,-0.00129657,-0.001751275
1990,9,16,-0.0005805009,-0.02757554,0.01817094,-0.008763812,-0.001045991,-0.002396272
1990,10,16,-0.009688131,-0.003820326,0.01705789,-0.008843307,-0.0009165108,-0.003214912
1990,11,16,-0.02213049,0.01463134,0.009179106,-0.00906553,-0.0007743011,-0.003542238
1990,12,16,-0.01958857,0.01508625,0.002921763,-0.009401523,-0.0005876014,-0.003759577
1991,1,16,-0.01016206,0.00903323,-0.0009821845,-0.009857972,-0.0005063122,-0.003941151
1991,2,16,-0.01106399,0.01409593,0.004983973,-0.01036825,-0.0005464944,-0.004062524
1991,3,16,-0.004352786,0.01668427,0.01798172,-0.0107217,-0.0005625949,-0.004419471
1991,4,16,0.003582456,-0.0001933073,0.02308464,-0.01091797,-0.0003708344,-0.004761199
1991,5,16,0.01273825,-0.01472584,0.00985604,-0.01092529,-0.0001980045,-0.004954396
1991,6,16,0.005945064,-0.02615871,0.0534818,-0.01089011,-0.0001882056,-0.005150573
1991,7,16,-0.007610259,-0.04589197,0.02288128,-0.01061524,-0.000321562,-0.005100713
1991,8,16,-0.01649653,-0.06755434,0.01225618,-0.0105374,-0.0003600335,-0.005084047
1991,9,16,-0.008850063,-0.03534936,0.01803884,-0.01055219,-0.0004636238,-0.00506612
1991,10,16,-0.004467481,-0.02083616,0.01825601,-0.01062922,-0.0006136827,-0.004876299
1991,11,16,-0.01747631,0.004535303,0.04257254,-0.01084613,-0.0006590607,-0.004544437
1991,12,16,-0.01969222,0.008207196,0.04174441,-0.01103758,-0.0008205367,-0.004322446
1992,1,16,-0.02639635,0.003440778,0.03333496,-0.01118929,-0.0009801305,-0.004239255
1992,2,16,-0.02905487,-0.002366487,0.01478001,-0.01137342,-0.001102358,-0.004193417
1992,3,16,-0.02401484,-0.01362594,0.001109534,-0.01156791,-0.001217337,-0.004339389
1992,4,16,-0.008424116,-0.01255941,0.01331901,-0.01170571,-0.001326511,-0.004761993
1992,5,16,0.0131853,-0.02379951,0.01497831,-0.01179483,-0.001528014,-0.005214684
1992,6,16,0.03990489,-0.03375314,0.008762186,-0.0117756,-0.001579792,-0.005593044
1992,7,16,0.03592489,-0.03383707,0.01326032,-0.01180208,-0.001545644,-0.005756273
1992,8,16,0.02511659,-0.06219458,0.007334538,-0.01201272,-0.00154002,-0.005618991
1992,9,16,0.00183358,-0.0652913,-0.01172286,-0.01216497,-0.001616441,-0.005767356
1992,10,16,0.00698217,-0.05243748,-0.01075196,-0.01232609,-0.001584495,-0.006009544
1992,11,16,0.01273213,-0.02560023,-0.02651149,-0.01262948,-0.00143616,-0.00603344
1992,12,16,-0.0002787135,0.001218659,-0.01933913,-0.0129755,-0.001254534,-0.006008223
1993,1,16,-0.01162869,0.005818579,-0.02057952,-0.01332845,-0.001248516,-0.006176356
1993,2,16,-0.02284833,0.007848089,-0.01256065,-0.01363185,-0.001275469,-0.006470531
