"","year","gfdl_sst_station","gfdl_sst_all","had_sst_station","had_sst_all","ipsl_sst_station","ipsl_sst_all","SST_CC_ann","sstGFDLbc","sstHADbc","sstIPSLbc","emean","recDevSST_GFDL","recDevSST_HAD","recDevSST_IPSL","recDevSST_EMEAN","recDevSST_GFDLbc","recDevSST_HADbc","recDevSST_IPSLbc","recDevSST_EMEANbc"
"29",2008,16.60343748,16.44707833,17.4460649,17.28111511,16.98290532,16.85035951,15.12961,15.563390702,16.4787566112,16.0031334796,16.0150935976,-0.338529456646569,0.834022235231807,0.224765650461819,0.240086143015684,-0.515669105150852,0.964393797150778,0.294878286462941,0.387253105861205
"30",2009,16.29433276,16.20444574,17.30273754,17.09599404,17.23028611,17.01293073,NA,15.320758112,16.2936355412,16.1657046996,15.9266994509333,-0.649333312295916,0.596888623799263,0.433013693289112,0.126856334930817,-0.989104851947505,0.690192253953376,0.568086518690599,0.204616181021822
"31",2010,16.25008069,16.16334806,18.00838482,17.8822562,16.81176324,16.67960107,NA,15.279660432,17.0798977012,15.8323750396,16.0639777242667,-0.701978001957116,1.60406293158366,0.00603006536721651,0.302704998331251,-1.06929651466854,1.85480467559575,0.00791106354147464,0.488255795570133
"32",2011,17.16789132,17.00045633,17.36973135,17.25190569,16.79626126,16.62805245,NA,16.116768702,16.4495471912,15.7808264196,16.1157141042667,0.370328393123433,0.796605990541515,-0.0600019126510887,0.368977490337954,0.564107221231524,0.92112877043124,-0.0787187061310227,0.595151712345644
"33",2012,16.96799542,16.82991611,17.30833712,17.11882782,16.9651024,16.80541539,NA,15.946228482,16.3164693212,15.9581893596,16.0736290542667,0.151872340211131,0.626137896796962,0.167193805786017,0.315068014264703,0.2313413862109,0.724013675323887,0.219347675483774,0.508197039399971
"34",2013,16.80445079,16.67334321,17.74453586,17.63649771,16.80105666,16.66270288,NA,15.789655582,16.8341392112,15.8154768496,16.1464238809333,-0.0486920646373683,1.28925490744081,-0.0156159245861325,0.408315639405767,-0.0741707786619982,1.49078691569482,-0.0204871032296613,0.658603189444622
"35",2014,16.38319562,16.3078479,17.08229316,16.93213098,16.76119811,16.64532478,NA,15.424160272,16.1297724812,15.7980987496,15.7840105009333,-0.516878764411519,0.386985779146357,-0.0378766624526357,-0.0559232159059349,-0.787341853662789,0.447478099778215,-0.0496917802965881,-0.0902027862886916
"36",2015,17.57559026,17.52063356,17.25110087,17.12366258,17.21579259,17.09047732,NA,16.636945932,16.3213040812,16.2432512896,16.4005004342667,1.03665721855038,0.632331055140366,0.532348160948469,0.733778811546408,1.57910069490984,0.731174927433061,0.698407043868335,1.18356736551816
"37",2016,16.82841508,16.79340927,17.76611111,17.60110035,17.44523696,17.34060746,NA,15.909721642,16.7987418512,16.4933814296,16.4006149742667,0.105108355910534,1.24391212818841,0.852756115733563,0.7339255332775,0.160107579332009,1.43835630508352,1.11876197124267,1.18380402409974
"38",2017,16.75009359,16.69830949,17.81703213,17.62113208,18.04000793,17.90290361,NA,15.814621862,16.8187735812,17.0556775796,16.5630243409333,-0.0167111337771679,1.26957207320786,1.57303780351831,0.941966247649667,-0.025455437427193,1.46802732675012,2.06372589000962,1.51936863342808
"39",2018,16.62148051,16.50896527,17.40667217,17.25102327,17.91990634,17.78384135,NA,15.625277642,16.4486647712,16.9366153196,16.3368525776,-0.259254452549467,0.79547564140621,1.42052321563742,0.652248134831385,-0.394912492628764,0.919821728905662,1.86363641796389,1.05206036813683
"40",2019,16.43257621,16.37717201,17.04638144,16.9336772,17.76317076,17.60413998,NA,15.493484382,16.1313187012,16.7569139496,16.1272390109333,-0.42807700584537,0.388966432848662,1.19033205021536,0.383740492406218,-0.652073496724988,0.449768362632268,1.56164019977354,0.618964075404003
"41",2020,16.58841029,16.57464889,17.65313998,17.5691027,17.49574346,17.39777923,NA,15.690961262,16.7667442012,16.5505531996,16.3360862209333,-0.17511603425617,1.20292425845616,0.925991152091619,0.651266458763867,-0.266747625382338,1.39096134886006,1.21484169688555,1.05047694853035
"42",2021,17.86608017,17.72683904,17.76933752,17.61932958,17.30267663,17.16714501,NA,16.843151412,16.8169710812,16.3199189796,16.6600138242667,1.30079922123859,1.26726313379536,0.63055678846931,1.06620638116775,1.98145820763047,1.46535746166338,0.827250538146577,1.71976494523999
"43",2022,18.57833698,18.36494704,17.98631795,17.79058355,17.53054651,17.38178111,NA,17.481259412,16.9882250512,16.5345550796,17.0013465142667,2.11819323545858,1.48663347547641,0.905498120305811,1.5034416104136,3.22656356432192,1.71901904028695,1.18795613814909,2.42501472929908
"44",2023,19.56668515,19.36745006,18.56388613,18.25707904,18.10603094,17.88725307,NA,18.483762432,17.4547205412,17.0400270396,17.6595033376,3.40236451647288,2.08419787082426,1.55299000954721,2.34651746561478,5.18269306011473,2.40999270013362,2.03742445506432,3.78487556634006
"45",2024,17.66090573,17.54677545,18.98144581,18.63218775,17.59810902,17.35078497,NA,16.663087822,17.8298292512,16.5035589396,16.9988253376,1.07014406467423,2.56469899952941,0.865793149830711,1.50021207134478,1.63010993985433,2.96560415564643,1.13586573361574,2.4198055613763
"46",2025,17.9932577,17.87189768,17.8761206,17.63433395,18.02677414,17.82094018,NA,16.988210052,16.8319754512,16.9737141496,16.9312998842667,1.48661426202618,1.28648320661241,1.46804551840836,1.41371432901565,2.26450322461564,1.48758195187784,1.9259826669618,2.28028680803972
"47",2026,17.78098746,17.60711603,18.03848066,17.83377046,17.43652533,17.249314,NA,16.723428402,17.0314119612,16.4020879696,16.7189761109333,1.14743823573393,1.54195439564456,0.735812388744659,1.14173500670772,1.74784922440157,1.78298754137614,0.965339214000967,1.84159078014404
"48",2027,17.61583182,17.41481284,17.83007802,17.60648079,17.08762662,16.91337864,NA,16.531125212,16.8041222912,16.0661526096,16.4671333709333,0.901104579955579,1.25080428351301,0.30549095032227,0.81913327126362,1.37261849233449,1.44632581904043,0.40078476304487,1.32124203182507
"49",2028,17.09437492,16.99554333,18.86595952,18.61318709,17.3010692,17.16450249,NA,16.111855702,17.8108285912,16.3172764596,16.7466535842667,0.364035012078428,2.54035981909251,0.627171812837517,1.17718888133615,0.554520752142546,2.93746035605749,0.822809664676939,1.89877701710141
"50",2029,17.60451941,17.53745522,19.10635179,18.7844161,17.35823548,17.27723285,NA,16.653767592,17.9820576012,16.4300068196,17.0219440042667,1.05820517625228,2.75969818788716,0.771575458434917,1.52982627419145,1.61192388310752,3.19108496390016,1.01225809456501,2.46757254986604
"51",2030,18.30109529,18.13147047,18.67710322,18.40644731,17.36038904,17.31495015,NA,17.247782842,17.6040888112,16.4677241196,17.1065319242667,1.81911792096853,2.27553339680481,0.819889999629414,1.63818043913425,2.77099346025027,2.63123715458025,1.07564371015798,2.64234518097268
"52",2031,17.37213716,17.17530841,17.9668238,17.79171213,17.97048906,17.86080268,NA,16.291620782,16.9893536312,17.0135766496,16.7648503542667,0.594307787780632,1.48807914695611,1.51910798572086,1.2004983068192,0.905286553627674,1.7206906942895,1.99297338744218,1.93637455313897
"53",2032,16.9557771,16.86264938,18.07570714,17.92182927,17.76249466,17.55568432,NA,15.978961752,17.1194707712,16.7084582896,16.6022969376,0.193802513416681,1.65475464919621,1.12826204570347,0.992273069438788,0.295212031648706,1.91342035269322,1.48020828820873,1.60051231268895
"54",2033,16.85489807,16.66086538,17.74970618,17.59612297,17.87157843,17.70038138,NA,15.777177752,16.7937644712,16.8531553496,16.4746991909333,-0.0646757281433175,1.23753627861671,1.31361391516637,0.82882482187992,-0.098518088165851,1.43098380406525,1.7233781922738,1.33687426711208
"55",2034,17.29323474,17.21295422,17.53240339,17.4160097,18.21874961,17.98445913,NA,16.329266592,16.6136512012,17.1372330996,16.6933836309333,0.642530752787284,1.00681748371116,1.67750757019512,1.10895193556452,0.978742770581528,1.16419982002533,2.20078360199338,1.78871248421073
"56",2035,18.28940702,18.05875271,18.14853172,18.04101795,18.22466953,18.13047885,NA,17.175065082,17.2386594512,17.2832528196,17.2323257842667,1.72596901553013,1.80743117667241,1.86455372082492,1.79931797100915,2.62910325905768,2.08996276349315,2.44617629555611,2.90225609838572
"57",2036,16.83974801,16.63902791,17.63659675,17.5475839,18.52922181,18.34708553,NA,15.755340282,16.7452254012,17.4998594996,16.6668083942667,-0.0926487629018702,1.17535942881416,2.14201929667111,1.0749099875278,-0.141128353001258,1.3590876773879,2.81019354369821,1.73380365048464
"58",2037,18.09919261,17.94168946,17.42085186,17.23609357,18.42281418,18.34663036,NA,17.058001832,16.4337350712,17.4994043296,16.9970470776,1.57601508949388,0.776351218245715,2.14143623983206,1.49793418252388,2.40068412053143,0.897707839981656,2.80942861008287,2.41613138214372
"59",2038,17.41665712,17.38164033,18.32720287,18.04252543,18.57001178,18.36783109,NA,16.497952702,17.2401669312,17.5206050596,17.0862415642667,0.85861175568343,1.80936220579061,2.16859363293652,1.61218919813685,1.30789078182796,2.09219564461435,2.84505738844375,2.60042194177611
"60",2039,17.21162557,17.0755788,18.64976065,18.35239304,17.55254197,17.42622086,NA,16.191891172,17.5500345412,16.5789948296,16.7736401809333,0.466557647906978,2.20629176883426,0.962423884664563,1.21175776713526,0.710689601964704,2.55117190727798,1.26263913270459,1.95453578861448
"61",2040,16.62828913,16.65178617,18.437765,18.22361257,17.82857874,17.7869813,NA,15.768098542,17.4212540712,16.9397552696,16.7097026276,-0.0763058783809676,2.04132849408071,1.42454538168916,1.12985599912964,-0.116233855724833,2.36042212602571,1.86891324487571,1.82243023001242
"62",2041,16.30724869,16.22657791,18.490904,18.28670354,17.11379531,17.08924309,NA,15.342890282,17.4843450412,16.2420170596,16.3564174609333,-0.62098277715187,2.12214581846676,0.530767155516518,0.67731006561047,-0.945919555066409,2.4538725438297,0.696332864954855,1.09248465256729
"63",2042,17.28579487,17.18911835,18.22645971,18.12148436,18.29259636,18.26853373,NA,16.305430722,17.3191258612,17.4213076996,17.0152880942667,0.611997837572737,1.91050583155806,2.04139719018411,1.5213002864383,0.932233136760297,2.20914970314057,2.67818371799658,2.45382033911173
"64",2043,18.01074224,17.93733015,19.04658673,18.93652868,18.08560451,18.04946888,NA,17.053642522,18.1341701812,17.2022428496,17.4633518509333,1.57043096595974,2.95454907892686,1.76078278460386,2.09525427649682,2.39217803655744,3.41639429349586,2.31003540483439,3.3795941571245
"65",2044,18.42122503,18.27465656,18.58066478,18.51501377,18.03050116,17.90093175,NA,17.390968932,17.7126552712,17.0537057196,17.3857766409333,2.00253429074538,2.41460323223871,1.57051191987342,1.99588314761917,3.05038467249445,2.7920459208189,2.06041209077259,3.21931094457654
"66",2045,18.64822143,18.46596829,18.90060498,18.86164706,17.86421405,17.69897842,NA,17.582280662,18.0592885612,16.8517523896,17.4977738709333,2.24759792096483,2.85862834456356,1.31181677250997,2.13934767934612,3.42368082270869,3.30547955126191,1.72102045502186,3.45071574284744
"67",2046,18.59341835,18.33507836,18.86590327,18.82482055,18.62138921,18.45113239,NA,17.451390732,18.0224620512,17.6039063596,17.6925863809333,2.07993250178238,2.81145487418141,2.27529968269102,2.38889568621827,3.16828243720033,3.25093208201612,2.98504896207694,3.8532306048418
"68",2047,18.17105805,17.89784472,18.73459963,18.7288432,18.68173015,18.53343528,NA,17.014157092,17.9264847012,17.6862092496,17.5422836809333,1.51985151211978,2.68851124803866,2.38072680417986,2.19636318811277,2.31513226937653,3.10877032008379,3.12336266289143,3.54268037093804
"69",2048,18.92363402,18.69336889,18.17648304,18.15574044,18.54599275,18.4218609,NA,17.809681262,17.3533819412,17.5746348696,17.5792326909333,2.53889013054383,1.95438667107526,2.23780392850316,2.24369357670741,3.86739521772465,2.2598898484946,2.93585690927958,3.61902313589177
"70",2049,18.56518422,18.33700244,18.32546017,18.22276589,19.01582799,18.78600156,NA,17.453314812,17.4204073912,17.9387755296,17.6041659109333,2.08239718091958,2.04024392663451,2.70425536904007,2.27563215886472,3.1720367896214,2.35916802262951,3.54781163288205,3.67053929164263
"71",2050,17.89424287,17.78786455,19.00938028,18.78066018,18.88687927,18.75696223,NA,16.904176922,17.9783016812,17.9097361996,17.5974049342667,1.37897076365573,2.75488698582436,2.66705700368661,2.2669715843889,2.10053395875068,3.18552169084796,3.49900973538521,3.65656999578001
"72",2051,18.09574971,17.95839729,18.76398376,18.49941805,18.43114669,18.32805847,NA,17.074709662,17.6970595512,17.4808324396,17.4175338842667,1.59741723494983,2.39462566076891,2.11764629875821,2.03656306482565,2.43328519845506,2.76894552229984,2.77821771533763,3.28492666102944
