"","Year","GCM","ensembleSSB","ensembleRec","ensembleRecDevs","elsSSB","elsRecs","elsRecDevs"
"107",2043,"IPSL",346644.772201068,5363067795.80185,-0.125803382775159,269901.207004069,4828211099.70135,0.0874966129574469
"108",2044,"GFDL",245227.978070604,5209959322.62036,0.444975205544677,182720.910717958,3268021451.62661,-0.032863463551138
"109",2044,"HAD",939343.85211412,40625322766.8252,2.87817520221284,751629.810008495,21850602542.9252,1.67041351315682
"110",2044,"IPSL",261653.314084684,4173177621.58014,-0.176425755579132,234017.327853629,3628516118.95439,-0.261699517766167
"111",2045,"GFDL",206703.071197017,8727100206.07864,1.93353016238983,161698.210463431,8465246209.93364,2.19534853912533
"112",2045,"HAD",1216668.67998995,15651777825.8153,0.412410478570767,905530.099738719,8485241799.03525,-0.558147097250471
"113",2045,"IPSL",254881.344993677,4536364537.85621,0.0605774104266078,252276.39332229,4536364537.85621,0.0746852151777457
"114",2046,"GFDL",261661.245813758,17809592709.261,3.08851966525668,235131.762681291,16520387810.676,2.91685701708717
"115",2046,"HAD",1354286.29200992,18502909394.9137,0.66752119488771,1006118.17440953,10389442389.4938,-0.26025366798969
"116",2046,"IPSL",276628.853555891,2584709107.38808,-1.35814849045329,278621.028145308,2581182142.99408,-1.28442010148343
"117",2047,"GFDL",466703.313122808,15981073361.6926,1.819972086931,460549.456555463,12379527336.1526,1.18432666276444
"118",2047,"HAD",1178983.97366057,33303082366.7488,2.14824800303153,923954.825800117,18313896341.3112,1.03455179664881
"119",2047,"IPSL",278214.238837832,4317073344.00252,-0.214536390783609,279033.321104617,4194830733.30802,-0.265959564633645
"120",2048,"GFDL",747900.362939071,11600967943.0345,0.370089299398516,716170.174561563,8041951883.99697,-0.366235653791566
"121",2048,"HAD",1236710.62900065,32948295260.4649,2.06833876037483,900205.206520819,15475343721.8649,0.712653892654349
"122",2048,"IPSL",268869.766200464,9889050534.13491,1.71397438094067,268931.559575717,9889050534.13491,1.60121127850428
"123",2049,"GFDL",844051.165470575,24505509454.7471,1.88371579696704,805412.336657836,12613554799.5445,0.424179659249564
"124",2049,"HAD",1562714.92716342,9181000113.19003,-1.06146277337177,1016870.62872011,5160531023.00352,-1.74411095375396
"125",2049,"IPSL",345456.186500695,9343548749.58994,1.12943525124013,345456.186500695,9343548749.58994,1.05539312427447
"126",2050,"GFDL",927193.197637072,12158614862.3566,0.180846626946329,791856.465475812,5047309600.42815,-1.47947961925243
"127",2050,"HAD",1534286.3456838,8929808315.008,-1.10501141080586,990952.671656782,5855742956.025,-1.44772544455432
"128",2050,"IPSL",501407.893470787,8896882922.27542,0.384416033484202,501686.243887829,8896882922.27542,0.358372518249142
"129",2051,"GFDL",954222.608991515,10279176490.5313,-0.234522969451186,727132.449932082,4304706469.51702,-1.70081758223753
"130",2051,"HAD",1150635.9415365,9407285562.40822,-0.667319418329053,772403.002567885,9407285562.40822,-0.137680580840985
"131",2051,"IPSL",606912.014020278,18891817709.8768,1.77701644713978,607921.3515792,16426141337.1893,1.36408333796636
"132",2052,"GFDL",820933.071430641,9647973940.4425,-0.175576808079263,575089.213628114,6402358490.475,-0.536694832075794
"133",2052,"HAD",813170.529841154,3570536743.66348,-2.39909399095791,626331.313872807,2403150672.30273,-2.71982039235386
"134",2052,"IPSL",734976.875477976,20442872152.4334,1.66985544961633,725360.497835933,10070888735.7634,0.0895371581080388
"135",2053,"GFDL",709855.145582688,5101925816.30775,-1.40295942129549,467416.188971409,2508389892.5435,-2.19517147968199
"136",2053,"HAD",550466.147845334,15463085886.6237,1.47850654409969,534653.989948773,15463085886.6237,1.4248399376803
"137",2053,"IPSL",936164.995274123,13428254357.7889,0.391700424851809,824814.599347143,5600643270.59612,-1.31366345401454
"138",2054,"GFDL",564820.365806346,1889011969.03033,-3.2926256042641,412394.693289706,1102862955.47383,-3.72600713818553
